"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 22, 2003","100.23","100.13","100.51","100.06","-","0.00%"
"Jan 21, 2003","100.23","100.88","100.96","100.08","-","-0.32%"
"Jan 17, 2003","100.55","100.76","100.94","100.31","-","-0.24%"
"Jan 16, 2003","100.79","101.21","101.38","100.70","-","-0.54%"
"Jan 15, 2003","101.34","101.43","101.70","101.02","-","0.13%"
"Jan 14, 2003","101.21","101.41","101.60","100.96","-","-0.26%"
"Jan 13, 2003","101.47","101.42","101.67","101.22","-","0.24%"
"Jan 10, 2003","101.23","101.86","102.06","101.22","-","-0.70%"
"Jan 09, 2003","101.94","101.58","102.14","101.51","-","0.07%"
"Jan 08, 2003","101.87","102.55","102.97","101.51","-","-0.68%"
"Jan 07, 2003","102.57","102.31","102.68","102.15","-","0.59%"
"Jan 06, 2003","101.97","102.28","102.46","101.76","-","-0.49%"
"Jan 03, 2003","102.47","103.02","103.17","102.33","-","-0.50%"
"Jan 02, 2003","102.98","102.36","103.20","101.89","-","1.11%"
"Dec 31, 2002","101.85","102.14","102.20","101.82","-","-0.16%"
"Dec 30, 2002","102.01","102.42","102.60","101.99","-","-0.39%"
"Dec 27, 2002","102.41","102.78","102.94","102.39","-","-0.40%"
"Dec 26, 2002","102.82","102.89","103.18","102.77","-","-0.42%"
"Dec 24, 2002","103.25","103.55","103.64","103.12","-","-0.38%"
"Dec 23, 2002","103.64","103.20","103.98","103.08","-","0.17%"
"Dec 20, 2002","103.46","103.53","103.71","103.44","-","-0.02%"
"Dec 19, 2002","103.48","103.66","103.94","103.36","-","-0.14%"
"Dec 18, 2002","103.63","103.69","103.91","103.47","-","0.12%"
"Dec 17, 2002","103.51","103.49","104.16","103.10","-","-0.53%"
"Dec 16, 2002","104.06","103.88","104.28","103.82","-","0.08%"
"Dec 13, 2002","103.98","104.36","104.70","103.83","-","-0.51%"
"Dec 12, 2002","104.51","105.09","105.43","104.43","-","-0.80%"
"Dec 11, 2002","105.35","105.33","105.63","105.21","-","-0.02%"
"Dec 10, 2002","105.37","105.26","105.54","104.88","-","0.12%"
"Dec 09, 2002","105.24","105.16","105.48","105.01","-","-0.11%"
"Dec 06, 2002","105.36","106.03","106.18","104.92","-","-0.70%"
"Dec 05, 2002","106.10","106.09","106.41","105.94","-","-0.04%"
"Dec 04, 2002","106.14","106.02","106.29","105.81","-","-0.22%"
"Dec 03, 2002","106.37","106.43","106.48","106.03","-","0.02%"
"Dec 02, 2002","106.35","106.57","107.31","106.27","-","-0.06%"
"Nov 29, 2002","106.41","106.57","106.70","106.29","-","-0.12%"
"Nov 28, 2002","106.54","106.78","106.88","106.45","-","-0.22%"
"Nov 27, 2002","106.77","106.56","106.97","106.40","-","0.23%"
"Nov 26, 2002","106.53","106.55","106.74","106.33","-","-0.01%"
"Nov 25, 2002","106.54","106.27","106.78","106.10","-","0.40%"
"Nov 22, 2002","106.12","105.64","106.20","105.57","-","0.29%"
"Nov 21, 2002","105.81","105.74","106.08","105.58","-","-0.06%"
"Nov 20, 2002","105.87","105.80","106.07","105.59","-","0.19%"
"Nov 19, 2002","105.67","105.14","105.88","104.71","-","0.45%"
"Nov 18, 2002","105.20","105.14","105.35","104.79","-","0.15%"
"Nov 15, 2002","105.04","105.41","105.65","104.96","-","-0.16%"
"Nov 14, 2002","105.21","105.18","105.43","104.76","-","0.10%"
"Nov 13, 2002","105.10","104.77","105.26","104.58","-","0.42%"
"Nov 12, 2002","104.66","104.79","105.00","104.42","-","0.09%"
"Nov 11, 2002","104.57","104.57","104.63","104.12","-","0.07%"
"Nov 08, 2002","104.50","104.90","105.11","104.34","-","-0.45%"
"Nov 07, 2002","104.97","105.60","105.87","104.92","-","-0.60%"
"Nov 06, 2002","105.60","106.25","106.38","105.57","-","-0.26%"
"Nov 05, 2002","105.87","105.93","106.12","105.45","-","-0.24%"
"Nov 04, 2002","106.12","106.09","106.42","105.98","-","0.04%"
"Nov 01, 2002","106.08","106.55","106.68","105.75","-","-0.53%"
"Oct 31, 2002","106.64","106.87","107.24","106.54","-","-0.40%"
"Oct 30, 2002","107.07","107.17","107.37","107.02","-","0.00%"
"Oct 29, 2002","107.07","107.15","107.49","106.88","-","-0.08%"
"Oct 28, 2002","107.16","108.20","108.33","107.12","-","-0.70%"
"Oct 25, 2002","107.92","107.77","107.99","107.61","-","0.01%"
"Oct 24, 2002","107.91","108.08","108.28","107.89","-","-0.08%"
"Oct 23, 2002","108.00","108.00","108.16","107.71","-","0.06%"
"Oct 22, 2002","107.94","108.45","108.45","107.77","-","-0.27%"
"Oct 21, 2002","108.23","108.38","108.74","107.98","-","-0.27%"
"Oct 18, 2002","108.52","108.47","108.62","108.19","-","0.14%"
"Oct 17, 2002","108.37","107.98","108.57","107.66","-","0.69%"
"Oct 16, 2002","107.63","107.60","107.82","107.47","-","-0.14%"
"Oct 15, 2002","107.78","107.26","107.89","107.13","-","0.59%"
"Oct 14, 2002","107.15","107.05","107.23","106.96","-","-0.09%"
"Oct 11, 2002","107.25","107.19","107.52","107.10","-","0.05%"
"Oct 10, 2002","107.20","107.03","107.34","106.71","-","0.24%"
"Oct 09, 2002","106.94","107.83","108.03","106.83","-","-1.05%"
"Oct 08, 2002","108.07","107.56","108.14","107.35","-","0.48%"
"Oct 07, 2002","107.55","107.76","107.86","107.45","-","-0.05%"
"Oct 04, 2002","107.60","107.02","107.72","106.84","-","0.59%"
"Oct 03, 2002","106.97","106.94","107.12","106.65","-","-0.18%"
"Oct 02, 2002","107.16","107.27","107.42","106.99","-","0.08%"
"Oct 01, 2002","107.07","106.74","107.18","106.62","-","0.19%"
"Sep 30, 2002","106.87","107.08","108.07","106.50","-","-0.61%"
"Sep 27, 2002","107.53","107.70","107.94","107.46","-","-0.14%"
"Sep 26, 2002","107.68","107.65","108.02","107.38","-","-0.10%"
"Sep 25, 2002","107.79","107.20","107.89","107.03","-","0.25%"
"Sep 24, 2002","107.52","107.93","108.00","107.30","-","-0.32%"
"Sep 23, 2002","107.86","107.52","108.13","107.04","-","0.31%"
"Sep 20, 2002","107.53","107.26","107.74","106.78","-","0.50%"
"Sep 19, 2002","107.00","107.38","107.72","106.84","-","-0.71%"
"Sep 18, 2002","107.76","108.36","108.70","107.46","-","-0.53%"
"Sep 17, 2002","108.33","108.70","109.24","108.29","-","0.08%"
"Sep 16, 2002","108.24","108.47","109.67","108.00","-","0.17%"
"Sep 13, 2002","108.06","107.08","108.28","106.97","-","0.84%"
"Sep 12, 2002","107.16","107.48","107.79","107.14","-","-0.43%"
"Sep 11, 2002","107.62","107.49","108.09","106.77","-","0.09%"
"Sep 10, 2002","107.52","106.82","107.76","106.58","-","0.39%"
"Sep 09, 2002","107.10","106.73","107.12","106.62","-","0.24%"
"Sep 06, 2002","106.84","106.17","106.84","105.75","-","0.81%"
"Sep 05, 2002","105.98","105.62","106.34","105.41","-","-0.11%"
"Sep 04, 2002","106.10","105.70","106.16","105.49","-","0.50%"
"Sep 03, 2002","105.57","106.43","106.74","105.49","-","-1.32%"
"Aug 30, 2002","106.98","106.55","107.12","106.40","-","0.26%"
"Aug 29, 2002","106.70","106.83","107.37","106.27","-","-0.35%"
"Aug 28, 2002","107.08","107.00","107.18","106.75","-","0.29%"
"Aug 27, 2002","106.77","107.46","108.06","106.71","-","-1.01%"
"Aug 26, 2002","107.86","108.14","108.26","107.66","-","-0.10%"
"Aug 23, 2002","107.97","108.35","108.48","107.83","-","-0.15%"
"Aug 22, 2002","108.13","107.48","108.36","107.05","-","0.92%"
"Aug 21, 2002","107.14","106.89","107.64","106.77","-","-0.16%"
"Aug 20, 2002","107.31","107.55","107.89","107.22","-","-0.20%"
"Aug 19, 2002","107.52","106.64","107.67","106.35","-","0.75%"
"Aug 16, 2002","106.72","106.95","107.14","106.45","-","0.00%"
"Aug 15, 2002","106.72","107.20","107.41","106.58","-","-0.07%"
"Aug 14, 2002","106.79","106.48","106.89","106.18","-","-0.30%"
"Aug 13, 2002","107.11","107.45","107.69","106.99","-","-0.28%"
"Aug 12, 2002","107.41","107.76","108.30","107.29","-","-0.74%"
"Aug 09, 2002","108.21","108.45","108.70","107.96","-","-0.41%"
"Aug 08, 2002","108.66","107.95","108.84","107.59","-","0.75%"
"Aug 07, 2002","107.85","108.53","108.75","107.69","-","-0.77%"
"Aug 06, 2002","108.69","107.94","109.00","107.31","-","1.32%"
"Aug 05, 2002","107.27","107.02","107.31","106.55","-","0.56%"
"Aug 02, 2002","106.67","106.78","107.02","106.28","-","-0.33%"
"Aug 01, 2002","107.02","107.61","107.91","106.80","-","-0.36%"
"Jul 31, 2002","107.41","106.98","107.51","106.66","-","0.57%"
"Jul 30, 2002","106.80","107.18","107.34","106.37","-","-0.28%"
"Jul 29, 2002","107.10","106.70","107.41","106.41","-","0.46%"
"Jul 26, 2002","106.61","105.33","106.69","104.73","-","1.42%"
"Jul 25, 2002","105.12","105.29","105.71","104.92","-","-0.38%"
"Jul 24, 2002","105.52","106.29","106.51","105.39","-","-1.07%"
"Jul 23, 2002","106.66","105.87","106.82","104.64","-","1.82%"
"Jul 22, 2002","104.75","104.34","104.87","104.10","-","0.66%"
"Jul 19, 2002","104.06","103.81","104.41","103.54","-","-0.39%"
"Jul 18, 2002","104.47","104.55","104.98","104.41","-","0.05%"
"Jul 17, 2002","104.42","103.93","104.96","103.87","-","-0.07%"
"Jul 16, 2002","104.49","104.66","104.87","103.94","-","-0.17%"
"Jul 15, 2002","104.67","105.36","105.89","104.39","-","-1.15%"
"Jul 12, 2002","105.89","106.21","106.25","105.66","-","0.16%"
"Jul 11, 2002","105.72","106.12","106.49","105.52","-","-0.27%"
"Jul 10, 2002","106.01","105.52","106.38","105.44","-","0.34%"
"Jul 09, 2002","105.65","106.19","106.35","105.58","-","-0.61%"
"Jul 08, 2002","106.30","106.46","107.70","106.27","-","-1.27%"
"Jul 05, 2002","107.67","107.73","107.88","107.22","-","0.31%"
"Jul 04, 2002","107.34","107.41","107.59","107.07","-","0.27%"
"Jul 03, 2002","107.05","106.99","107.44","106.54","-","0.23%"
"Jul 02, 2002","106.80","106.81","107.22","106.12","-","0.27%"
"Jul 01, 2002","106.51","105.76","106.65","105.67","-","0.38%"
"Jun 28, 2002","106.11","106.28","106.84","105.37","-","-0.24%"
"Jun 27, 2002","106.37","106.74","107.03","106.22","-","-0.18%"
"Jun 26, 2002","106.56","106.22","107.42","105.89","-","-0.94%"
"Jun 25, 2002","107.57","108.13","108.53","107.54","-","-0.59%"
"Jun 24, 2002","108.21","108.07","108.47","107.25","-","0.02%"
"Jun 21, 2002","108.19","108.73","109.01","107.96","-","-0.69%"
"Jun 20, 2002","108.94","109.53","109.80","108.86","-","-0.67%"
"Jun 19, 2002","109.67","109.97","110.16","109.54","-","-0.48%"
"Jun 18, 2002","110.20","110.74","110.87","110.10","-","-0.59%"
"Jun 17, 2002","110.85","110.83","111.13","110.66","-","0.08%"
"Jun 14, 2002","110.76","110.98","111.18","110.26","-","-0.35%"
"Jun 13, 2002","111.15","111.17","111.46","110.67","-","0.14%"
"Jun 12, 2002","111.00","110.77","111.13","110.50","-","0.20%"
"Jun 11, 2002","110.78","111.06","111.46","110.72","-","-0.29%"
"Jun 10, 2002","111.10","111.39","111.47","110.66","-","0.10%"
"Jun 07, 2002","110.99","110.69","111.12","110.56","-","0.14%"
"Jun 06, 2002","110.83","111.75","111.90","110.70","-","-0.46%"
"Jun 05, 2002","111.34","111.26","111.77","111.07","-","0.23%"
"Jun 04, 2002","111.09","110.81","111.18","110.62","-","-0.19%"
"Jun 03, 2002","111.30","111.93","112.04","111.12","-","-0.46%"
"May 31, 2002","111.81","111.35","112.17","110.99","-","0.58%"
"May 30, 2002","111.17","111.38","111.70","110.88","-","-0.29%"
"May 29, 2002","111.49","112.14","112.29","111.47","-","-0.54%"
"May 28, 2002","112.10","112.79","112.92","111.93","-","-0.80%"
"May 27, 2002","113.00","112.87","113.11","112.72","-","0.18%"
"May 24, 2002","112.80","113.01","113.35","112.63","-","0.01%"
"May 23, 2002","112.79","112.55","113.17","112.18","-","0.41%"
"May 22, 2002","112.33","112.79","113.02","112.16","-","-0.42%"
