Start Day,Start Month,Year,End Month,End Day,Start Date (Temp),End Date (Temp),Start Date (String),End Date (String),FEDFUNDS
1,3,1972,3,31,1/3/1972,31/3/1972,1/3/1972,31/3/1972,3.83
1,4,1972,4,30,1/4/1972,30/4/1972,3/4/1972,28/4/1972,4.17
1,5,1972,5,31,1/5/1972,31/5/1972,1/5/1972,31/5/1972,4.27
1,6,1972,6,30,1/6/1972,30/6/1972,1/6/1972,30/6/1972,4.46
1,7,1972,7,31,1/7/1972,31/7/1972,3/7/1972,31/7/1972,4.55
1,8,1972,8,31,1/8/1972,31/8/1972,1/8/1972,31/8/1972,4.81
1,9,1972,9,30,1/9/1972,30/9/1972,1/9/1972,29/9/1972,4.87
1,10,1972,10,31,1/10/1972,31/10/1972,2/10/1972,31/10/1972,5.05
1,11,1972,11,30,1/11/1972,30/11/1972,1/11/1972,30/11/1972,5.06
1,12,1972,12,31,1/12/1972,31/12/1972,1/12/1972,29/12/1972,5.33
1,1,1973,1,31,1/1/1973,31/1/1973,1/1/1973,31/1/1973,5.94
1,2,1973,2,28,1/2/1973,28/2/1973,1/2/1973,28/2/1973,6.58
1,3,1973,3,31,1/3/1973,31/3/1973,1/3/1973,30/3/1973,7.09
1,4,1973,4,30,1/4/1973,30/4/1973,2/4/1973,30/4/1973,7.12
1,5,1973,5,31,1/5/1973,31/5/1973,1/5/1973,31/5/1973,7.84
1,6,1973,6,30,1/6/1973,30/6/1973,1/6/1973,29/6/1973,8.49
1,7,1973,7,31,1/7/1973,31/7/1973,2/7/1973,31/7/1973,10.4
1,8,1973,8,31,1/8/1973,31/8/1973,1/8/1973,31/8/1973,10.5
1,9,1973,9,30,1/9/1973,30/9/1973,3/9/1973,28/9/1973,10.78
1,10,1973,10,31,1/10/1973,31/10/1973,1/10/1973,31/10/1973,10.01
1,11,1973,11,30,1/11/1973,30/11/1973,1/11/1973,30/11/1973,10.03
1,12,1973,12,31,1/12/1973,31/12/1973,3/12/1973,31/12/1973,9.95
1,1,1974,1,31,1/1/1974,31/1/1974,1/1/1974,31/1/1974,9.65
1,2,1974,2,28,1/2/1974,28/2/1974,1/2/1974,28/2/1974,8.97
1,3,1974,3,31,1/3/1974,31/3/1974,1/3/1974,29/3/1974,9.35
1,4,1974,4,30,1/4/1974,30/4/1974,1/4/1974,30/4/1974,10.51
1,5,1974,5,31,1/5/1974,31/5/1974,1/5/1974,31/5/1974,11.31
1,6,1974,6,30,1/6/1974,30/6/1974,3/6/1974,28/6/1974,11.93
1,7,1974,7,31,1/7/1974,31/7/1974,1/7/1974,31/7/1974,12.92
1,8,1974,8,31,1/8/1974,31/8/1974,1/8/1974,30/8/1974,12.01
