Year,Quarter,Start Date,End Date,Start Date (String),End Date (String),Gold Reserves
2012,Q2,-04-01,-06-30,2012-04-01,2012-06-30,"17,576,798,739.6"
2012,Q3,-07-01,-09-30,2012-07-01,2012-09-30,"19,990,435,830.7"
2012,Q4,-10-01,-12-31,2012-10-01,2012-12-31,"18,917,713,722.9"
2013,Q1,-01-01,-03-31,2013-01-01,2013-03-31,"18,465,777,736.3"
2013,Q2,-04-01,-06-30,2013-04-01,2013-06-30,"13,819,454,670.6"
2013,Q3,-07-01,-09-30,2013-07-01,2013-09-30,"15,804,128,523.0"
2013,Q4,-10-01,-12-31,2013-10-01,2013-12-31,"14,639,391,929.5"
2014,Q1,-01-01,-03-31,2014-01-01,2014-03-31,"15,913,554,276.8"
2014,Q2,-04-01,-06-30,2014-04-01,2014-06-30,"16,395,220,599.9"
2014,Q3,-07-01,-09-30,2014-07-01,2014-09-30,"14,858,741,652.2"
2014,Q4,-10-01,-12-31,2014-10-01,2014-12-31,"14,490,577,333.7"
2015,Q1,-01-01,-03-31,2015-01-01,2015-03-31,"14,029,280,186.2"
2015,Q2,-04-01,-06-30,2015-04-01,2015-06-30,"13,871,263,618.8"
2015,Q3,-07-01,-09-30,2015-07-01,2015-09-30,"12,889,148,850.4"
2015,Q4,-10-01,-12-31,2015-10-01,2015-12-31,"11,976,894,751.1"
2016,Q1,-01-01,-03-31,2016-01-01,2016-03-31,"13,982,065,877.4"
2016,Q2,-04-01,-06-30,2016-04-01,2016-06-30,"14,985,141,154.0"
2016,Q3,-07-01,-09-30,2016-07-01,2016-09-30,"15,019,457,723.4"
2016,Q4,-10-01,-12-31,2016-10-01,2016-12-31,"12,681,024,219.7"
2017,Q1,-01-01,-03-31,2017-01-01,2017-03-31,"14,008,690,610.7"
2017,Q2,-04-01,-06-30,2017-04-01,2017-06-30,"14,264,932,672.2"
2017,Q3,-07-01,-09-30,2017-07-01,2017-09-30,"14,963,240,547.0"
2017,Q4,-10-01,-12-31,2017-10-01,2017-12-31,"15,238,336,017.9"
2018,Q1,-01-01,-03-31,2018-01-01,2018-03-31,"15,844,278,376.4"
2018,Q2,-04-01,-06-30,2018-04-01,2018-06-30,"14,801,827,680.8"
2018,Q3,-07-01,-09-30,2018-07-01,2018-09-30,"13,967,665,387.1"
2018,Q4,-10-01,-12-31,2018-10-01,2018-12-31,"15,088,287,613.8"
2019,Q1,-01-01,-03-31,2019-01-01,2019-03-31,"15,511,447,759.5"
2019,Q2,-04-01,-06-30,2019-04-01,2019-06-30,"17,061,658,572.1"
2019,Q3,-07-01,-09-30,2019-07-01,2019-09-30,"17,863,989,511.3"
2019,Q4,-10-01,-12-31,2019-10-01,2019-12-31,"18,477,596,300.5"
2020,Q1,-01-01,-03-31,2020-01-01,2020-03-31,"19,423,363,499.5"
2020,Q2,-04-01,-06-30,2020-04-01,2020-06-30,"21,928,137,462.7"
